modelId,brand,model,search,minus,isDSLR,year
0,canon,1Ds,1Ds,-2 -3 -ii -iii,1,2002
1,canon,1Ds Mk II,1Ds Mk II|1Ds Mk 2|1Ds Mark II|1Ds Mark 2,,1,2004
2,canon,1Ds Mk III,1Ds Mk III|1Ds Mk 3|1Ds Mark III|1Ds Mark 3,,1,2007
3,canon,1D,1D,-2 -3 -4 -ii -iii -iv -X -C -iin,1,2001
4,canon,1D Mk II,1D Mk II|1D Mk 2|1D Mark II|1D Mark 2,-N,1,2004
5,canon,1D Mk II N,1D Mk II N|1D Mk 2 N|1D Mark II N|1D Mark 2 N,,1,2005
6,canon,1D Mk III,1D Mk III|1D Mk 3|1D Mark III|1D Mark 3,,1,2007
7,canon,1D Mk IV,1D Mk IV|1D Mk 4|1D Mark IV|1D Mark 4,,1,2009
8,canon,1D X,1D X,-2 -ii,1,2012
9,canon,1D C,1D C,,1,2012
10,canon,1D X Mk II,1D X Mk II|1D X Mk 2|1D X Mark II|1D X Mark 2,,1,2016
11,canon,5D,5D,-2 -3 -4 -ii -iii -iv,1,2005
12,canon,5D Mk II,5D Mk II|5D Mk 2|5D Mark II|5D Mark 2,,1,2008
13,canon,5D Mk III,5D Mk III|5D Mk 3|5D Mark III|5D Mark 3,,1,2012
14,canon,5D Mk IV,5D Mk IV|5D Mk 4|5D Mark IV|5D Mark 4,,1,2016
15,canon,5Ds,5Ds,-R,1,2015
16,canon,5Ds R,5Ds R,,1,2015
17,canon,6D,6D,-2 -ii,1,2012
18,canon,6D Mk II,6D Mk II|6D Mk 2|6D Mark II|6D Mark 2,,1,2017
19,canon,7D,7D,-2 -ii,1,2009
20,canon,7D Mk II,7D Mk II|7D Mk 2|7D Mark II|7D Mark 2,,1,2014
21,canon,D30,D30,,1,2000
22,canon,D60,D60,,1,2002
23,canon,10D,10D,,1,2003
24,canon,20D,20D,,1,2004
25,canon,20Da,20Da,,1,2005
26,canon,30D,30D,,1,2006
27,canon,40D,40D,,1,2007
28,canon,50D,50D,,1,2008
29,canon,60D,60D,,1,2010
30,canon,60Da,60Da,,1,2012
31,canon,70D,70D,,1,2013
32,canon,77D,77D,,1,2017
33,canon,80D,80D,,1,2016
34,canon,90D,90D,,1,2019
35,canon,300D Digital Rebel,300D,,1,2003
36,canon,350D Rebel XT,350D|Rebel XT,-XTi,1,2005
